ID,Text Sample,Length,Word Count,Average Word Length,Vowel Count,Consonant Count,Unique Words,Stop Words Count,Special Characters,Digit Count,Punctuation Count,Uppercase Count,Lowercase Count,Has Accents,Has Diacritics,Character Diversity,Language Family,Script Type,Language
28,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Medium,Sino-Tibetan,Devanagari,Arabic
29,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,Low,Indo-European,Devanagari,Spanish
30,"Привет, как дела?",17,3,5.0,0,13,3,0,2,0,2,1,12,No,No,Low,Altaic,Latin,Russian
31,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Low,Sino-Tibetan,Arabic,Arabic
32,"Hello, how are you?",19,4,4.0,7,7,4,2,2,0,2,1,13,No,No,High,Altaic,Latin,English
33,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,2,2,0,2,1,16,No,No,High,Altaic,Cyrillic,German
34,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,High,Sino-Tibetan,Logographic,Thai
35,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,Low,Afro-Asiatic,Logographic,Spanish
36,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Medium,Altaic,Latin,Arabic
37,"Ciao, come stai?",16,3,4.67,7,5,3,0,2,0,2,1,11,No,No,Medium,Indo-European,Cyrillic,Italian
38,"Hej, hvordan har du det?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,Low,Afro-Asiatic,Cyrillic,Danish
39,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Low,Austroasiatic,Hangul,Chinese
40,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Low,Altaic,Cyrillic,Chinese
41,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Medium,Austroasiatic,Hangul,Japanese
42,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,Medium,Austroasiatic,Cyrillic,Thai
43,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Medium,Sino-Tibetan,Hangul,Japanese
44,"Bonjour, comment ça va ?",24,5,4.0,7,11,5,2,2,0,2,1,17,No,Yes,Low,Austroasiatic,Devanagari,French
45,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,High,Afro-Asiatic,Logographic,Chinese
46,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,0,8,0,2,0,0,No,No,High,Afro-Asiatic,Latin,Hindi
47,"Hello, how are you?",19,4,4.0,7,7,4,1,2,0,2,1,13,No,No,Medium,Afro-Asiatic,Devanagari,English
48,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,0,2,0,2,1,16,No,No,High,Afro-Asiatic,Latin,German
49,"Xin chào, bạn khỏe không?",25,5,4.2,3,16,5,0,2,0,2,1,18,Yes,No,Low,Austroasiatic,Latin,Vietnamese
50,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Medium,Austroasiatic,Cyrillic,Chinese
51,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Medium,Austroasiatic,Arabic,Chinese
52,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,High,Austroasiatic,Cyrillic,Thai
53,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,2,8,0,2,0,0,No,No,Low,Austroasiatic,Hangul,Hindi
54,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Medium,Austroasiatic,Logographic,Japanese
55,"Bonjour, comment ça va ?",24,5,4.0,7,11,5,0,2,0,2,1,17,No,Yes,Low,Austroasiatic,Latin,French
56,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,High,Altaic,Cyrillic,Japanese
57,"Hello, how are you?",19,4,4.0,7,7,4,0,2,0,2,1,13,No,No,Medium,Sino-Tibetan,Cyrillic,English
58,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,0,3,0,2,1,12,Yes,No,High,Sino-Tibetan,Devanagari,Spanish
59,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,High,Altaic,Devanagari,Chinese
60,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,1,2,0,2,1,16,No,No,Low,Sino-Tibetan,Cyrillic,German
61,"Hej, hvordan har du det?",24,5,4.0,6,12,5,0,2,0,2,1,17,No,No,High,Altaic,Devanagari,Danish
62,"Ciao, come stai?",16,3,4.67,7,5,3,1,2,0,2,1,11,No,No,Low,Altaic,Cyrillic,Italian
63,"Hej, hvordan har du det?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,Medium,Altaic,Logographic,Danish
64,"Ciao, come stai?",16,3,4.67,7,5,3,1,2,0,2,1,11,No,No,High,Indo-European,Devanagari,Italian
65,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,0,2,0,2,0,0,No,No,Low,Altaic,Latin,Korean
66,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Low,Afro-Asiatic,Devanagari,Chinese
67,"Bonjour, comment ça va ?",24,5,4.0,7,11,5,0,2,0,2,1,17,No,Yes,High,Austroasiatic,Hangul,French
68,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Medium,Afro-Asiatic,Devanagari,Japanese
69,"Hej, hvordan har du det?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,High,Indo-European,Logographic,Danish
70,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,0,2,0,2,1,16,No,No,High,Afro-Asiatic,Latin,German
71,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,1,2,0,2,1,16,No,No,High,Austroasiatic,Logographic,German
72,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,0,3,0,2,1,12,Yes,No,Low,Indo-European,Devanagari,Spanish
73,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,High,Indo-European,Latin,Korean
74,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,1,2,0,2,1,16,No,No,High,Sino-Tibetan,Latin,German
75,"Hej, hvordan har du det?",24,5,4.0,6,12,5,2,2,0,2,1,17,No,No,Low,Indo-European,Arabic,Danish
76,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,0,3,0,2,1,12,Yes,No,High,Altaic,Hangul,Spanish
77,"Bonjour, comment ça va ?",24,5,4.0,7,11,5,2,2,0,2,1,17,No,Yes,Low,Altaic,Devanagari,French
78,"Hello, how are you?",19,4,4.0,7,7,4,0,2,0,2,1,13,No,No,High,Altaic,Logographic,English
79,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Medium,Altaic,Latin,Chinese
80,"Xin chào, bạn khỏe không?",25,5,4.2,3,16,5,2,2,0,2,1,18,Yes,No,Low,Altaic,Logographic,Vietnamese
81,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,1,2,0,2,1,16,No,No,High,Austroasiatic,Arabic,German
82,"Привет, как дела?",17,3,5.0,0,13,3,0,2,0,2,1,12,No,No,High,Afro-Asiatic,Logographic,Russian
83,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,Low,Altaic,Arabic,Spanish
84,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,Medium,Austroasiatic,Arabic,Korean
85,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Medium,Altaic,Latin,Arabic
86,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Low,Altaic,Devanagari,Japanese
87,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,High,Afro-Asiatic,Logographic,Spanish
88,"Hello, how are you?",19,4,4.0,7,7,4,1,2,0,2,1,13,No,No,Low,Afro-Asiatic,Arabic,English
89,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Low,Austroasiatic,Arabic,Japanese
90,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Medium,Afro-Asiatic,Hangul,Arabic
91,"Ciao, come stai?",16,3,4.67,7,5,3,0,2,0,2,1,11,No,No,High,Indo-European,Devanagari,Italian
92,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,High,Afro-Asiatic,Latin,Japanese
93,"Ciao, come stai?",16,3,4.67,7,5,3,0,2,0,2,1,11,No,No,High,Sino-Tibetan,Hangul,Italian
94,"Xin chào, bạn khỏe không?",25,5,4.2,3,16,5,1,2,0,2,1,18,Yes,No,Medium,Austroasiatic,Arabic,Vietnamese
95,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,High,Indo-European,Hangul,Arabic
96,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,High,Indo-European,Devanagari,Arabic
97,"Olá, como você está?",20,4,4.25,5,10,4,0,2,0,2,1,14,Yes,No,Low,Indo-European,Logographic,Portuguese
98,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,Medium,Indo-European,Cyrillic,Korean
99,"Hello, how are you?",19,4,4.0,7,7,4,0,2,0,2,1,13,No,No,Low,Indo-European,Devanagari,English
100,"Привет, как дела?",17,3,5.0,0,13,3,1,2,0,2,1,12,No,No,Low,Sino-Tibetan,Cyrillic,Russian
101,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,High,Altaic,Cyrillic,Chinese
102,"Привет, как дела?",17,3,5.0,0,13,3,1,2,0,2,1,12,No,No,Medium,Austroasiatic,Latin,Russian
103,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,0,2,0,2,1,16,No,No,Low,Indo-European,Arabic,German
104,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,Low,Altaic,Cyrillic,Korean
105,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Low,Sino-Tibetan,Cyrillic,Japanese
106,"Hej, hvordan har du det?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,Medium,Sino-Tibetan,Hangul,Danish
107,مرحبا كيف حالك؟,15,3,4.33,0,12,3,1,1,0,0,0,0,No,No,High,Altaic,Cyrillic,Arabic
108,"Bonjour, comment ça va ?",24,5,4.0,7,11,5,1,2,0,2,1,17,No,Yes,Medium,Afro-Asiatic,Devanagari,French
109,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,High,Altaic,Devanagari,Korean
110,"Olá, como você está?",20,4,4.25,5,10,4,0,2,0,2,1,14,Yes,No,Medium,Indo-European,Arabic,Portuguese
111,"Привет, как дела?",17,3,5.0,0,13,3,1,2,0,2,1,12,No,No,Low,Afro-Asiatic,Arabic,Russian
112,"Olá, como você está?",20,4,4.25,5,10,4,1,2,0,2,1,14,Yes,No,Low,Altaic,Devanagari,Portuguese
113,"Ciao, come stai?",16,3,4.67,7,5,3,0,2,0,2,1,11,No,No,Low,Indo-European,Logographic,Italian
114,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,0,2,0,2,0,0,No,No,Medium,Austroasiatic,Latin,Korean
115,"Bonjour, comment ça va ?",24,5,4.0,7,11,5,0,2,0,2,1,17,No,Yes,Medium,Sino-Tibetan,Arabic,French
116,"Bonjour, comment ça va ?",24,5,4.0,7,11,5,1,2,0,2,1,17,No,Yes,Low,Indo-European,Latin,French
117,"Привет, как дела?",17,3,5.0,0,13,3,0,2,0,2,1,12,No,No,Low,Afro-Asiatic,Latin,Russian
118,"Ciao, come stai?",16,3,4.67,7,5,3,0,2,0,2,1,11,No,No,High,Sino-Tibetan,Latin,Italian
119,"Olá, como você está?",20,4,4.25,5,10,4,0,2,0,2,1,14,Yes,No,High,Afro-Asiatic,Devanagari,Portuguese
120,"Hej, hvordan har du det?",24,5,4.0,6,12,5,2,2,0,2,1,17,No,No,Medium,Sino-Tibetan,Devanagari,Danish
121,"Hello, how are you?",19,4,4.0,7,7,4,1,2,0,2,1,13,No,No,High,Austroasiatic,Latin,English
122,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,0,2,0,2,1,16,No,No,Low,Austroasiatic,Arabic,German
123,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,High,Afro-Asiatic,Latin,Chinese
124,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,Medium,Austroasiatic,Cyrillic,Korean
125,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,Low,Sino-Tibetan,Hangul,Spanish
126,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,1,8,0,2,0,0,No,No,Medium,Austroasiatic,Cyrillic,Hindi
127,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,Medium,Indo-European,Logographic,Spanish
128,"Xin chào, bạn khỏe không?",25,5,4.2,3,16,5,2,2,0,2,1,18,Yes,No,Low,Austroasiatic,Latin,Vietnamese
129,"Olá, como você está?",20,4,4.25,5,10,4,2,2,0,2,1,14,Yes,No,Low,Indo-European,Hangul,Portuguese
130,"Xin chào, bạn khỏe không?",25,5,4.2,3,16,5,0,2,0,2,1,18,Yes,No,Low,Altaic,Latin,Vietnamese
131,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,Low,Sino-Tibetan,Hangul,Spanish
132,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,Medium,Afro-Asiatic,Arabic,Korean
133,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,High,Afro-Asiatic,Arabic,Thai
134,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,2,2,0,2,1,16,No,No,Low,Sino-Tibetan,Devanagari,German
135,"Olá, como você está?",20,4,4.25,5,10,4,2,2,0,2,1,14,Yes,No,Low,Afro-Asiatic,Latin,Portuguese
136,"Hej, hvordan har du det?",24,5,4.0,6,12,5,2,2,0,2,1,17,No,No,High,Sino-Tibetan,Logographic,Danish
137,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Medium,Indo-European,Devanagari,Arabic
138,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Medium,Indo-European,Devanagari,Arabic
139,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,2,8,0,2,0,0,No,No,Low,Austroasiatic,Cyrillic,Hindi
140,"Hello, how are you?",19,4,4.0,7,7,4,1,2,0,2,1,13,No,No,High,Indo-European,Latin,English
141,"Hej, hvordan har du det?",24,5,4.0,6,12,5,0,2,0,2,1,17,No,No,High,Altaic,Devanagari,Danish
142,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Medium,Indo-European,Hangul,Japanese
143,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Low,Austroasiatic,Hangul,Chinese
144,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,1,8,0,2,0,0,No,No,Low,Indo-European,Hangul,Hindi
145,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,High,Afro-Asiatic,Devanagari,Japanese
146,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,2,8,0,2,0,0,No,No,High,Sino-Tibetan,Arabic,Hindi
147,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,2,8,0,2,0,0,No,No,High,Altaic,Logographic,Hindi
148,"Hello, how are you?",19,4,4.0,7,7,4,1,2,0,2,1,13,No,No,Medium,Indo-European,Cyrillic,English
149,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,0,3,0,2,1,12,Yes,No,High,Austroasiatic,Arabic,Spanish
150,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,0,2,0,2,1,16,No,No,High,Afro-Asiatic,Arabic,German
151,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Low,Afro-Asiatic,Latin,Japanese
152,"Olá, como você está?",20,4,4.25,5,10,4,1,2,0,2,1,14,Yes,No,Medium,Austroasiatic,Latin,Portuguese
153,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,Low,Afro-Asiatic,Devanagari,Thai
154,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Medium,Sino-Tibetan,Arabic,Japanese
155,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,0,2,0,2,1,16,No,No,High,Afro-Asiatic,Arabic,German
156,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,High,Austroasiatic,Cyrillic,Chinese
157,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,1,2,0,2,1,16,No,No,High,Sino-Tibetan,Devanagari,German
158,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,Low,Afro-Asiatic,Arabic,Thai
159,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,0,3,0,2,1,12,Yes,No,High,Afro-Asiatic,Hangul,Spanish
160,"Ciao, come stai?",16,3,4.67,7,5,3,1,2,0,2,1,11,No,No,Low,Sino-Tibetan,Logographic,Italian
161,"Hej, hvordan har du det?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,Medium,Indo-European,Devanagari,Danish
162,"Привет, как дела?",17,3,5.0,0,13,3,1,2,0,2,1,12,No,No,Low,Austroasiatic,Logographic,Russian
163,"Xin chào, bạn khỏe không?",25,5,4.2,3,16,5,2,2,0,2,1,18,Yes,No,High,Sino-Tibetan,Arabic,Vietnamese
164,"Bonjour, comment ça va ?",24,5,4.0,7,11,5,2,2,0,2,1,17,No,Yes,Medium,Indo-European,Arabic,French
165,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Low,Altaic,Hangul,Japanese
166,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,2,8,0,2,0,0,No,No,Medium,Austroasiatic,Hangul,Hindi
167,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,Low,Austroasiatic,Devanagari,Thai
168,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Low,Afro-Asiatic,Devanagari,Japanese
169,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,2,8,0,2,0,0,No,No,High,Austroasiatic,Logographic,Hindi
170,"Hej, hvordan har du det?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,Low,Sino-Tibetan,Devanagari,Danish
171,"Xin chào, bạn khỏe không?",25,5,4.2,3,16,5,0,2,0,2,1,18,Yes,No,Medium,Altaic,Latin,Vietnamese
172,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Low,Indo-European,Devanagari,Arabic
173,"Hello, how are you?",19,4,4.0,7,7,4,0,2,0,2,1,13,No,No,High,Indo-European,Devanagari,English
174,"Xin chào, bạn khỏe không?",25,5,4.2,3,16,5,0,2,0,2,1,18,Yes,No,High,Afro-Asiatic,Devanagari,Vietnamese
175,"Ciao, come stai?",16,3,4.67,7,5,3,0,2,0,2,1,11,No,No,Medium,Indo-European,Devanagari,Italian
176,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,High,Sino-Tibetan,Logographic,Arabic
177,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,0,8,0,2,0,0,No,No,High,Altaic,Cyrillic,Hindi
178,"Xin chào, bạn khỏe không?",25,5,4.2,3,16,5,1,2,0,2,1,18,Yes,No,Low,Indo-European,Devanagari,Vietnamese
179,"Hej, hvordan har du det?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,High,Altaic,Logographic,Danish
180,مرحبا كيف حالك؟,15,3,4.33,0,12,3,1,1,0,0,0,0,No,No,High,Sino-Tibetan,Devanagari,Arabic
181,مرحبا كيف حالك؟,15,3,4.33,0,12,3,1,1,0,0,0,0,No,No,Low,Austroasiatic,Hangul,Arabic
182,"Hej, hvordan har du det?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,High,Sino-Tibetan,Hangul,Danish
183,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,High,Austroasiatic,Latin,Spanish
184,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,0,3,0,2,1,12,Yes,No,Medium,Austroasiatic,Devanagari,Spanish
185,"Olá, como você está?",20,4,4.25,5,10,4,2,2,0,2,1,14,Yes,No,Medium,Altaic,Logographic,Portuguese
186,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,Low,Altaic,Cyrillic,Thai
187,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,2,8,0,2,0,0,No,No,High,Sino-Tibetan,Devanagari,Hindi
188,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Medium,Sino-Tibetan,Cyrillic,Arabic
189,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,2,8,0,2,0,0,No,No,High,Altaic,Devanagari,Hindi
190,"Bonjour, comment ça va ?",24,5,4.0,7,11,5,1,2,0,2,1,17,No,Yes,High,Sino-Tibetan,Logographic,French
191,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,Low,Altaic,Cyrillic,Thai
192,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,Medium,Afro-Asiatic,Latin,Spanish
193,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,High,Indo-European,Arabic,Chinese
194,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,High,Indo-European,Logographic,Japanese
195,"Ciao, come stai?",16,3,4.67,7,5,3,1,2,0,2,1,11,No,No,Medium,Sino-Tibetan,Devanagari,Italian
196,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,2,2,0,2,1,16,No,No,Low,Altaic,Arabic,German
197,"Hej, hvordan har du det?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,High,Sino-Tibetan,Logographic,Danish
198,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,0,2,0,2,0,0,No,No,Medium,Indo-European,Hangul,Korean
199,"Bonjour, comment ça va ?",24,5,4.0,7,11,5,1,2,0,2,1,17,No,Yes,High,Sino-Tibetan,Arabic,French
200,"Ciao, come stai?",16,3,4.67,7,5,3,0,2,0,2,1,11,No,No,High,Indo-European,Hangul,Italian
201,"Olá, como você está?",20,4,4.25,5,10,4,0,2,0,2,1,14,Yes,No,High,Altaic,Cyrillic,Portuguese
202,مرحبا كيف حالك؟,15,3,4.33,0,12,3,1,1,0,0,0,0,No,No,Low,Altaic,Latin,Arabic
203,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,0,2,0,2,0,0,No,No,High,Sino-Tibetan,Logographic,Korean
